Date,Usage (minutes)\n\
08/28,138\n\
08/29,142\n\
08/30,144\n\
08/31,201\n\
09/01,208\n\
09/02,256\n\
09/03,305\n\
09/04,258\n\
09/05,225\n\
09/06,257\n\
09/07,152\n\
09/08,330\n\
09/09,83\n\
09/10,124\n\
09/11,123\n\
09/12,265\n\
09/13,171\n\
09/14,106\n\
09/15,251\n\
09/16,197\n\
09/17,211\n\
09/18,221\n\
09/19,143\n\
09/20,101\n\
09/21,119\n\
09/22,403\n\
09/23,36\n\
09/24,253\n\
09/25,178\n\
09/26,155\n\
09/27,69\n\
09/28,62\n\
09/29,190\n\
09/30,156\n\
10/01,0\n\
10/02,0\n\
10/03,0\n\
10/04,0\n\
10/05,133\n\
10/06,250\n\
10/07,289\n\
10/08,169\n\
10/09,10\n\
10/10,222\n\
10/11,146\n\
10/12,121\n\
10/13,88\n\
10/14,195\n\
10/15,164\n\
10/16,274\n\
10/17,86\n\
10/18,183\n\
10/19,120\n\
10/20,144\n\
10/21,128\n\
10/22,131\n\
10/23,222\n\
10/24,404\n\
10/25,269\n\
10/26,311\n\
10/27,223\n\
10/28,251\n\
10/29,60\n\
10/30,110\n\
10/31,291\n\
11/01,335\n\
11/02,84\n\
11/03,163\n\
11/04,149\n\
11/05,164\n\
11/06,446\n\
11/07,261\n\
11/08,270\n\
11/09,554\n\
11/10,217\n\
11/11,92\n\
11/12,0\n\
11/13,228\n\
11/14,287\n\
11/15,359\n\
11/16,222\n\
11/17,215\n\
11/18,218\n\
11/19,254\n\
11/20,229\n\
